Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,First Interest High-Point,Second Interest High-Point,Third Interest High-Point
Fire Inspectors and Investigators,8,6,1,4,4,8,0,10,3
Forest Fire Inspectors and Prevention Specialists,9,3,0,2,6,8,0,10,8
Bailiffs,9,1,0,3,6,6,0,10,8
Correctional Officers and Jailers,9,2,0,3,7,6,0,8,10
Detectives and Criminal Investigators,4,8,1,3,9,4,8,3,10
Police Identification and Records Officers,8,5,1,2,3,9,10,2,3
Intelligence Analysts,3,9,2,2,6,6,2,10,8
Fish and Game Wardens,10,7,1,4,2,3,0,3,0
Parking Enforcement Workers,10,1,0,3,4,7,0,10,0
Police and Sheriff's Patrol Officers,8,2,0,6,8,4,8,2,7
Customs and Border Protection Officers,6,2,0,2,7,9,10,8,2
Transit and Railroad Police,9,3,0,2,6,6,0,8,10
Animal Control Workers,9,4,1,5,2,5,0,7,10
Private Detectives and Investigators,4,3,1,4,9,7,8,10,0
Gambling Surveillance Officers and Gambling Investigators,9,2,1,1,6,8,0,10,8
Security Guards,10,2,1,4,6,7,0,10,8
Crossing Guards and Flaggers,5,0,1,8,7,2,6,8,2
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",9,3,0,8,3,3,0,7,0
Transportation Security Screeners,8,1,0,3,8,6,0,8,10
Retail Loss Prevention Specialists,4,4,1,1,8,8,8,10,0
Chefs and Head Cooks,8,1,6,4,10,3,8,2,5
First-Line Supervisors of Food Preparation and Serving Workers,6,1,1,4,10,8,8,10,2
"Cooks, Fast Food",9,1,0,3,3,8,0,10,0
"Cooks, Institution and Cafeteria",8,0,3,4,4,8,0,10,0
"Cooks, Private Household",6,2,9,3,4,5,4,2,10
"Cooks, Restaurant",9,1,4,2,5,4,0,8,0
"Cooks, Short Order",9,0,2,3,3,8,0,10,0
Food Preparation Workers,9,1,1,3,3,8,0,10,0
Bartenders,6,1,2,4,8,8,8,10,2
Fast Food and Counter Workers,8,0,1,6,5,6,0,10,7
Baristas,6,0,4,4,6,6,8,10,2
Waiters and Waitresses,6,0,2,8,7,7,6,8,10
"Food Servers, Nonrestaurant",6,0,1,9,5,3,6,2,8
Dining Room and Cafeteria Attendants and Bartender Helpers,10,1,0,4,3,6,0,10,7
Dishwashers,10,1,0,1,2,5,0,10,0
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3,0,1,6,8,3,8,7,0
First-Line Supervisors of Housekeeping and Janitorial Workers,7,1,1,3,10,7,8,10,2
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",8,2,1,3,10,7,8,2,10
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9,0,0,1,3,4,0,10,0
Maids and Housekeeping Cleaners,9,1,0,3,2,7,0,10,0
Pest Control Workers,10,2,1,2,3,5,0,10,0
Landscaping and Groundskeeping Workers,10,3,3,1,3,6,0,10,0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",9,3,0,0,2,4,0,10,0
Tree Trimmers and Pruners,10,1,1,1,2,2,0,0,0
First-Line Supervisors of Gambling Services Workers,6,1,0,4,8,8,8,10,2
First-Line Supervisors of Personal Service Workers,2,0,2,6,10,7,8,10,7
Animal Trainers,10,4,2,4,3,4,0,0,0
Animal Caretakers,9,2,0,4,3,7,0,10,0
Gambling Dealers,7,2,0,2,7,10,10,8,2
Gambling and Sports Book Writers and Runners,6,0,1,3,7,9,10,8,2
Motion Picture Projectionists,9,3,1,0,1,7,0,10,0
"Ushers, Lobby Attendants, and Ticket Takers",6,0,1,7,6,7,6,10,8
Amusement and Recreation Attendants,6,0,1,4,8,7,8,10,2
Costume Attendants,6,0,4,4,2,9,10,2,0
"Locker Room, Coatroom, and Dressing Room Attendants",2,0,1,9,6,4,6,8,10
Embalmers,9,5,1,3,4,6,0,10,3
Funeral Attendants,6,0,2,9,6,3,6,8,2
"Morticians, Undertakers, and Funeral Arrangers",3,0,1,7,10,6,8,7,10
Barbers,8,1,2,4,6,6,0,8,10
"Hairdressers, Hairstylists, and Cosmetologists",6,1,9,6,7,4,4,8,7
"Makeup Artists, Theatrical and Performance",7,2,10,3,3,0,4,2,0
Manicurists and Pedicurists,8,0,2,6,7,6,0,8,7
Shampooers,8,0,0,4,5,5,0,8,10
Skincare Specialists,6,0,4,6,9,2,8,7,2
Baggage Porters and Bellhops,10,0,0,4,3,6,0,10,0
Concierges,3,0,3,8,7,4,6,8,0
Tour Guides and Escorts,2,1,3,9,6,1,6,8,0
Travel Guides,3,2,3,5,9,8,8,10,0
Childcare Workers,3,1,7,10,3,4,6,5,0
Nannies,3,1,5,10,5,5,6,5,8
Exercise Trainers and Group Fitness Instructors,7,1,3,10,6,1,6,2,8
Recreation Workers,4,0,6,9,8,2,6,8,5
Residential Advisors,2,1,3,9,7,6,6,8,10
First-Line Supervisors of Retail Sales Workers,3,0,1,6,10,7,8,10,7
First-Line Supervisors of Non-Retail Sales Workers,2,2,1,6,10,7,8,10,7
Cashiers,3,0,1,3,6,9,10,8,0
Gambling Change Persons and Booth Cashiers,4,0,0,2,6,9,10,8,2
Counter and Rental Clerks,2,0,1,3,7,8,10,8,0
Parts Salespersons,5,1,0,3,9,8,8,10,2
Retail Salespersons,3,0,1,4,10,5,8,10,0
Advertising Sales Agents,0,2,6,2,10,6,8,10,5
Insurance Sales Agents,2,1,1,4,10,7,8,10,7
"Securities, Commodities, and Financial Services Sales Agents",1,1,1,3,10,7,8,10,7
Travel Agents,2,1,3,4,10,8,8,10,0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,4,1,3,10,7,8,10,0
Solar Sales Representatives and Assessors,3,2,1,3,9,4,8,10,2
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4,2,0,3,8,9,10,8,0
Demonstrators and Product Promoters,4,0,2,3,10,7,8,10,2
Models,6,0,9,1,7,3,4,8,2
Real Estate Brokers,4,0,1,4,10,8,8,10,0
Real Estate Sales Agents,4,1,1,4,10,7,8,10,0
Sales Engineers,7,5,2,2,10,3,8,2,3
Telemarketers,4,0,1,2,10,8,8,10,0
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",3,0,2,3,10,6,8,10,0
First-Line Supervisors of Office and Administrative Support Workers,1,1,1,6,9,8,8,10,7
"Switchboard Operators, Including Answering Service",3,0,0,4,6,9,10,8,7
Telephone Operators,5,0,1,6,5,9,10,7,2
Bill and Account Collectors,2,1,0,2,8,9,10,8,0
Billing and Posting Clerks,3,2,0,4,7,10,10,8,7
"Bookkeeping, Accounting, and Auditing Clerks",2,2,0,1,4,10,10,8,0
Gambling Cage Workers,5,1,0,3,6,10,10,8,2
Payroll and Timekeeping Clerks,1,0,0,2,4,10,10,8,0
Procurement Clerks,2,1,0,0,6,10,10,8,0
Tellers,3,1,0,2,6,9,10,8,0
Brokerage Clerks,3,1,0,3,7,10,10,8,0
Correspondence Clerks,3,2,2,3,6,9,10,8,0
"Court, Municipal, and License Clerks",2,2,0,4,6,10,10,8,7
"Credit Authorizers, Checkers, and Clerks",1,2,0,3,7,9,10,8,7
Customer Service Representatives,1,1,0,6,9,6,8,7,10
"Eligibility Interviewers, Government Programs",1,0,1,8,6,8,6,10,8
File Clerks,6,2,0,2,4,10,10,2,8
"Hotel, Motel, and Resort Desk Clerks",2,0,1,5,7,8,10,8,7
"Interviewers, Except Eligibility and Loan",1,1,1,6,7,8,10,8,7
"Library Assistants, Clerical",7,1,0,5,3,10,10,2,7
Loan Interviewers and Clerks,1,1,0,3,6,10,10,8,0
New Accounts Clerks,2,2,0,6,8,9,10,8,7
Order Clerks,3,1,1,5,7,10,10,8,7
"Human Resources Assistants, Except Payroll and Timekeeping",1,1,0,4,6,10,10,8,7
Receptionists and Information Clerks,1,0,0,4,7,9,10,8,7
Reservation and Transportation Ticket Agents and Travel Clerks,1,1,1,5,8,9,10,8,7
Cargo and Freight Agents,4,1,0,2,8,9,10,8,2
Freight Forwarders,3,3,1,2,6,9,10,8,0
Couriers and Messengers,10,0,0,1,3,4,0,10,8
Public Safety Telecommunicators,6,3,0,4,5,9,10,2,8
"Dispatchers, Except Police, Fire, and Ambulance",5,1,0,3,5,9,10,2,8
"Meter Readers, Utilities",7,1,0,3,3,10,10,2,0
Postal Service Clerks,4,0,1,3,3,10,10,2,0
Postal Service Mail Carriers,8,1,0,3,4,9,10,2,0
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",6,0,0,1,2,10,10,2,0
"Production, Planning, and Expediting Clerks",3,1,0,1,7,9,10,8,0
"Shipping, Receiving, and Inventory Clerks",7,0,0,0,4,9,10,2,8
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",6,2,0,1,4,10,10,2,0
Executive Secretaries and Executive Administrative Assistants,3,3,1,4,6,10,10,8,0
Legal Secretaries and Administrative Assistants,2,2,0,2,6,10,10,8,0
Medical Secretaries and Administrative Assistants,3,4,1,6,4,10,10,7,0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1,0,1,3,7,10,10,8,0
Data Entry Keyers,6,3,0,0,4,10,10,2,8
Word Processors and Typists,1,0,0,1,3,10,10,8,0
Desktop Publishers,4,5,8,1,2,4,4,3,10
Insurance Claims and Policy Processing Clerks,0,1,0,3,6,10,10,8,7
"Mail Clerks and Mail Machine Operators, Except Postal Service",8,2,1,1,2,9,10,2,0
"Office Clerks, General",4,1,0,4,6,10,10,8,2
"Office Machine Operators, Except Computer",8,0,0,1,3,8,0,10,0
Proofreaders and Copy Markers,1,1,4,3,3,9,10,5,0
Statistical Assistants,3,7,2,1,4,10,10,3,0
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",8,2,0,2,9,6,8,2,10
Agricultural Inspectors,9,5,1,1,4,6,0,10,3
Animal Breeders,9,4,1,0,3,3,0,3,0
"Graders and Sorters, Agricultural Products",8,3,1,0,1,8,0,10,0
Agricultural Equipment Operators,10,1,0,0,1,2,0,0,0
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",10,1,0,0,0,2,0,10,0
"Farmworkers, Farm, Ranch, and Aquacultural Animals",10,1,0,0,1,2,0,0,0
Fishing and Hunting Workers,10,2,1,0,2,1,0,3,8
Forest and Conservation Workers,10,4,1,1,3,6,0,10,3
Fallers,10,2,0,0,2,4,0,10,0
Logging Equipment Operators,10,4,0,0,1,4,0,3,10
Log Graders and Scalers,8,2,0,0,3,6,0,10,0
First-Line Supervisors of Construction Trades and Extraction Workers,8,1,0,2,10,6,8,2,10
Solar Energy Installation Managers,6,2,1,2,9,3,8,2,0
Boilermakers,10,1,0,0,1,3,0,10,0
Brickmasons and Blockmasons,10,6,3,0,1,6,0,10,3
Stonemasons,10,0,2,1,2,2,0,0,0
Carpenters,10,5,2,0,1,6,0,10,3
Carpet Installers,10,1,1,1,3,3,0,8,0
"Floor Layers, Except Carpet, Wood, and Hard Tiles",10,3,2,0,1,7,0,10,0
Floor Sanders and Finishers,10,0,0,0,1,2,0,0,0
Tile and Stone Setters,10,3,4,1,1,6,0,10,5
Cement Masons and Concrete Finishers,10,1,1,0,3,3,0,8,0
Terrazzo Workers and Finishers,10,0,2,0,1,2,0,0,0
Construction Laborers,10,0,0,0,2,3,0,10,0
"Paving, Surfacing, and Tamping Equipment Operators",10,0,0,0,2,3,0,10,0
Pile Driver Operators,10,4,1,0,1,4,0,10,3
Operating Engineers and Other Construction Equipment Operators,10,4,0,0,1,6,0,10,3
Drywall and Ceiling Tile Installers,10,3,2,1,2,7,0,10,0
Tapers,10,1,0,0,1,2,0,0,0
Electricians,10,4,1,1,3,4,0,3,10
Glaziers,10,1,0,0,2,3,0,10,0
"Insulation Workers, Floor, Ceiling, and Wall",9,1,0,0,1,2,0,0,0
"Insulation Workers, Mechanical",10,5,1,0,1,7,0,10,3
"Painters, Construction and Maintenance",10,0,1,0,1,3,0,10,0
Paperhangers,10,2,2,0,2,6,0,10,0
Pipelayers,10,1,0,1,2,2,0,0,0
"Plumbers, Pipefitters, and Steamfitters",10,4,1,0,2,5,0,10,3
Solar Thermal Installers and Technicians,9,2,0,2,2,5,0,10,0
Plasterers and Stucco Masons,10,0,2,0,2,2,0,0,0
Reinforcing Iron and Rebar Workers,10,4,1,0,0,6,0,10,3
Roofers,10,2,0,0,1,3,0,10,0
Sheet Metal Workers,10,1,1,0,1,2,0,0,0
Structural Iron and Steel Workers,10,3,1,0,2,3,0,3,10
Solar Photovoltaic Installers,9,3,1,1,1,5,0,10,0
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",10,0,0,1,1,2,0,0,0
Helpers--Carpenters,10,2,1,1,2,6,0,10,0
Helpers--Electricians,9,3,1,1,1,4,0,10,0
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",9,0,1,1,2,3,0,10,0
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",10,1,0,0,1,2,0,0,0
Helpers--Roofers,10,2,0,2,2,6,0,10,0
Construction and Building Inspectors,10,6,1,0,3,8,0,10,3
Energy Auditors,4,3,0,1,6,10,10,8,0
Elevator and Escalator Installers and Repairers,10,7,1,0,2,6,0,3,10
Fence Erectors,10,3,1,0,3,6,0,10,0
Hazardous Materials Removal Workers,9,3,0,1,2,4,0,10,0
Highway Maintenance Workers,10,3,0,1,2,6,0,10,0
Rail-Track Laying and Maintenance Equipment Operators,10,1,0,0,1,2,0,0,0
Septic Tank Servicers and Sewer Pipe Cleaners,10,1,0,1,3,2,0,0,0
Segmental Pavers,10,0,1,0,2,3,0,10,0
Weatherization Installers and Technicians,9,3,0,2,3,5,0,10,0
"Derrick Operators, Oil and Gas",10,5,0,1,2,6,0,10,3
"Rotary Drill Operators, Oil and Gas",10,2,0,2,5,4,0,8,10
"Service Unit Operators, Oil and Gas",10,4,0,1,2,6,0,10,3
"Excavating and Loading Machine and Dragline Operators, Surface Mining",10,1,0,0,2,1,0,0,0
"Earth Drillers, Except Oil and Gas",10,7,2,0,1,6,0,3,10
"Explosives Workers, Ordnance Handling Experts, and Blasters",9,8,1,1,2,6,0,3,10
Continuous Mining Machine Operators,10,4,0,0,2,4,0,10,3
"Roof Bolters, Mining",10,1,0,0,1,3,0,10,0
"Loading and Moving Machine Operators, Underground Mining",10,3,0,0,1,5,0,10,0
"Rock Splitters, Quarry",10,3,1,0,1,4,0,10,0
"Roustabouts, Oil and Gas",10,1,0,0,1,2,0,0,0
Helpers--Extraction Workers,10,3,0,2,2,6,0,10,0
"First-Line Supervisors of Mechanics, Installers, and Repairers",6,2,0,3,10,8,8,10,2
"Computer, Automated Teller, and Office Machine Repairers",10,6,1,2,3,7,0,10,3
"Radio, Cellular, and Tower Equipment Installers and Repairers",10,2,0,1,2,3,0,10,0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",10,7,1,2,2,6,0,3,10
Avionics Technicians,10,6,1,0,2,6,0,3,10
"Electric Motor, Power Tool, and Related Repairers",10,2,0,0,1,4,0,10,0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",10,3,0,0,2,5,0,10,0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",10,7,2,0,3,6,0,3,10
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",9,3,1,0,2,4,0,10,0
"Electronic Equipment Installers and Repairers, Motor Vehicles",10,7,2,0,2,6,0,3,10
Audiovisual Equipment Installers and Repairers,9,3,1,2,3,6,0,10,0
Security and Fire Alarm Systems Installers,9,3,0,0,2,4,0,10,0
Aircraft Mechanics and Service Technicians,10,4,1,0,2,6,0,10,3
Automotive Body and Related Repairers,10,1,1,0,2,2,0,0,0
Automotive Glass Installers and Repairers,10,0,0,1,3,4,0,10,8
Automotive Service Technicians and Mechanics,10,4,0,0,2,3,0,3,10
Bus and Truck Mechanics and Diesel Engine Specialists,10,2,0,0,1,4,0,10,0
Farm Equipment Mechanics and Service Technicians,10,5,1,1,2,7,0,10,3
"Mobile Heavy Equipment Mechanics, Except Engines",10,3,0,0,1,3,0,10,0
Rail Car Repairers,10,3,0,0,1,3,0,10,3
Motorboat Mechanics and Service Technicians,10,3,0,0,1,4,0,10,3
Motorcycle Mechanics,10,2,1,0,2,3,0,0,0
Outdoor Power Equipment and Other Small Engine Mechanics,10,2,0,1,3,4,0,10,0
Bicycle Repairers,10,4,2,0,3,6,0,10,3
Recreational Vehicle Service Technicians,10,6,1,1,2,5,0,3,10
Tire Repairers and Changers,10,3,0,2,2,5,0,10,0
Mechanical Door Repairers,10,2,0,0,2,3,0,0,0
"Control and Valve Installers and Repairers, Except Mechanical Door",10,5,0,0,2,6,0,10,3
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",10,4,1,0,3,5,0,10,3
Home Appliance Repairers,10,6,0,1,3,7,0,10,3
Industrial Machinery Mechanics,10,6,1,1,1,6,0,3,10
"Maintenance Workers, Machinery",10,4,1,1,2,7,0,10,3
Millwrights,10,3,1,0,1,3,0,10,3
"Refractory Materials Repairers, Except Brickmasons",10,4,0,0,1,4,0,10,3
Electrical Power-Line Installers and Repairers,10,6,2,0,1,5,0,3,10
Telecommunications Line Installers and Repairers,9,2,0,0,3,3,0,8,0
Camera and Photographic Equipment Repairers,10,6,2,0,1,6,0,10,3
Medical Equipment Repairers,10,7,1,1,1,6,0,3,10
Musical Instrument Repairers and Tuners,10,5,6,1,1,5,0,5,3
Watch and Clock Repairers,10,5,1,0,1,6,0,10,3
"Maintenance and Repair Workers, General",10,4,1,0,2,6,0,10,3
Wind Turbine Service Technicians,9,2,0,1,2,5,0,10,0
"Coin, Vending, and Amusement Machine Servicers and Repairers",10,4,0,0,3,7,0,10,0
Commercial Divers,10,2,1,0,2,2,0,0,0
Locksmiths and Safe Repairers,10,1,0,1,2,4,0,10,0
Manufactured Building and Mobile Home Installers,10,1,1,2,3,4,0,10,0
Riggers,10,4,1,0,2,7,0,10,3
Signal and Track Switch Repairers,10,2,0,0,1,4,0,10,0
"Helpers--Installation, Maintenance, and Repair Workers",10,6,0,1,1,7,0,10,3
Geothermal Technicians,9,2,0,1,2,5,0,10,0
First-Line Supervisors of Production and Operating Workers,8,3,0,2,10,7,8,2,10
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10,1,0,0,2,3,0,10,0
"Coil Winders, Tapers, and Finishers",10,4,1,0,1,6,0,10,3
Electrical and Electronic Equipment Assemblers,10,1,0,0,2,3,0,10,0
Electromechanical Equipment Assemblers,10,6,1,0,1,6,0,10,3
Engine and Other Machine Assemblers,10,2,0,0,1,3,0,10,0
Structural Metal Fabricators and Fitters,10,3,3,0,1,7,0,10,0
Fiberglass Laminators and Fabricators,10,4,2,0,1,7,0,10,3
Timing Device Assemblers and Adjusters,10,1,1,0,1,3,0,10,0
Team Assemblers,10,2,0,1,6,7,0,10,8
Bakers,9,1,2,0,3,5,0,10,0
Butchers and Meat Cutters,9,1,1,1,5,6,0,10,8
"Meat, Poultry, and Fish Cutters and Trimmers",10,1,0,0,1,2,0,0,0
Slaughterers and Meat Packers,10,2,1,0,3,7,0,10,0
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",10,1,0,0,2,3,0,10,0
Food Batchmakers,10,4,1,0,3,8,0,10,0
Food Cooking Machine Operators and Tenders,10,4,0,1,3,7,0,10,0
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",10,1,0,0,1,3,0,10,0
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10,4,0,0,2,6,0,10,3
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9,2,0,0,3,5,0,10,0
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",10,4,0,0,2,7,0,10,0
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10,6,1,0,2,7,0,10,3
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10,1,0,0,1,2,0,0,0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10,6,2,0,1,6,0,3,10
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",10,1,0,0,1,4,0,10,0
Machinists,10,6,2,0,1,7,0,10,3
Metal-Refining Furnace Operators and Tenders,10,8,1,0,1,7,0,3,10
"Pourers and Casters, Metal",10,2,0,0,1,3,0,10,0
"Model Makers, Metal and Plastic",9,4,1,0,2,4,0,3,10
"Patternmakers, Metal and Plastic",10,6,5,0,1,6,0,10,3
Foundry Mold and Coremakers,10,4,2,0,2,5,0,10,0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",10,4,1,0,1,7,0,10,3
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10,2,0,1,1,2,0,0,0
Tool and Die Makers,9,7,4,0,1,6,0,3,10
"Welders, Cutters, Solderers, and Brazers",10,2,0,0,1,3,0,10,3
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",10,4,1,0,4,6,0,10,0
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",10,2,1,0,2,4,0,10,0
"Layout Workers, Metal and Plastic",9,4,2,0,1,4,0,10,3
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",10,2,0,0,1,4,0,10,0
"Tool Grinders, Filers, and Sharpeners",10,2,1,0,2,3,0,10,0
Prepress Technicians and Workers,9,0,1,0,2,8,0,10,0
Printing Press Operators,9,1,1,1,2,7,0,10,0
Print Binding and Finishing Workers,8,1,3,1,2,6,0,10,0
Laundry and Dry-Cleaning Workers,9,1,0,1,2,4,0,10,0
"Pressers, Textile, Garment, and Related Materials",10,3,2,1,2,7,0,10,0
Sewing Machine Operators,9,1,1,0,1,5,0,10,0
Shoe and Leather Workers and Repairers,10,1,5,1,1,6,0,10,5
Shoe Machine Operators and Tenders,10,1,0,0,1,3,0,10,0
"Sewers, Hand",8,1,7,1,1,6,0,5,10
"Tailors, Dressmakers, and Custom Sewers",9,0,5,2,4,2,0,5,8
Textile Bleaching and Dyeing Machine Operators and Tenders,9,1,0,0,1,2,0,0,0
"Textile Cutting Machine Setters, Operators, and Tenders",10,1,0,0,1,3,0,10,0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",10,1,2,1,3,7,0,10,0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",9,1,0,0,2,4,0,10,0
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",10,2,0,0,2,3,0,0,0
Fabric and Apparel Patternmakers,8,1,6,0,2,4,0,5,10
Upholsterers,9,0,1,0,2,2,0,0,0
Cabinetmakers and Bench Carpenters,10,0,2,0,2,3,0,10,0
Furniture Finishers,10,0,3,0,1,2,0,5,0
"Model Makers, Wood",10,4,6,0,0,6,0,5,10
"Patternmakers, Wood",10,6,5,0,1,5,0,3,5
"Sawing Machine Setters, Operators, and Tenders, Wood",10,4,1,0,0,7,0,10,3
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",10,4,1,0,1,6,0,10,3
Nuclear Power Reactor Operators,9,1,0,0,3,5,0,10,8
Power Distributors and Dispatchers,9,7,1,1,5,6,0,3,10
Power Plant Operators,9,2,0,0,2,6,0,10,0
Biomass Plant Technicians,8,3,0,1,2,5,0,10,3
Hydroelectric Plant Technicians,8,3,0,1,1,4,0,10,3
Stationary Engineers and Boiler Operators,10,6,0,1,2,6,0,3,10
Water and Wastewater Treatment Plant and System Operators,9,2,1,0,2,4,0,10,0
Chemical Plant and System Operators,10,2,0,1,2,4,0,10,0
Gas Plant Operators,9,4,0,0,3,9,0,10,0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",10,1,0,1,2,6,0,10,0
Biofuels Processing Technicians,8,3,0,1,2,5,0,10,3
Chemical Equipment Operators and Tenders,10,2,1,0,2,4,0,10,0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",10,6,1,1,2,7,0,10,3
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",10,4,1,0,2,7,0,10,3
"Grinding and Polishing Workers, Hand",10,4,3,0,1,6,0,10,0
"Mixing and Blending Machine Setters, Operators, and Tenders",10,4,0,0,1,6,0,10,3
"Cutters and Trimmers, Hand",10,2,1,0,2,7,0,10,0
"Cutting and Slicing Machine Setters, Operators, and Tenders",10,1,0,0,2,3,0,10,0
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",10,4,1,0,1,7,0,10,3
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",10,3,0,0,2,5,0,10,0
"Inspectors, Testers, Sorters, Samplers, and Weighers",9,4,0,1,3,9,10,2,0
Jewelers and Precious Stone and Metal Workers,10,2,6,0,2,2,0,5,10
Gem and Diamond Workers,9,4,2,0,2,3,0,3,0
Dental Laboratory Technicians,9,7,2,3,1,6,0,3,10
Medical Appliance Technicians,10,6,2,6,1,3,0,3,7
Ophthalmic Laboratory Technicians,10,2,0,0,2,4,0,10,0
Packaging and Filling Machine Operators and Tenders,10,3,1,0,1,7,0,10,0
"Painting, Coating, and Decorating Workers",10,1,3,1,1,3,0,0,0
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10,4,2,0,1,6,0,10,3
Semiconductor Processing Technicians,10,6,1,0,2,7,0,10,3
Photographic Process Workers and Processing Machine Operators,6,2,3,2,2,9,10,2,0
Computer Numerically Controlled Tool Operators,10,1,0,0,1,3,0,10,0
Computer Numerically Controlled Tool Programmers,8,8,2,1,1,8,10,3,2
Adhesive Bonding Machine Operators and Tenders,9,1,0,0,2,4,0,10,0
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",10,1,0,0,1,3,0,10,0
Cooling and Freezing Equipment Operators and Tenders,10,5,0,0,1,7,0,10,3
Etchers and Engravers,10,0,3,1,2,4,0,10,0
"Molders, Shapers, and Casters, Except Metal and Plastic",10,0,0,0,0,2,0,10,0
"Stone Cutters and Carvers, Manufacturing",10,1,8,0,1,3,0,5,0
"Glass Blowers, Molders, Benders, and Finishers",9,3,6,0,2,7,0,10,5
"Potters, Manufacturing",9,1,5,0,1,1,0,5,0
"Paper Goods Machine Setters, Operators, and Tenders",9,3,0,0,2,6,0,10,0
Tire Builders,10,3,1,0,1,6,0,10,0
Helpers--Production Workers,10,3,1,1,1,7,0,10,0
Aircraft Cargo Handling Supervisors,8,3,1,2,10,4,8,2,0
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",6,1,0,2,10,6,8,2,10
Recycling Coordinators,3,1,0,2,8,5,8,10,0
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,6,1,0,2,10,8,8,10,2
"Airline Pilots, Copilots, and Flight Engineers",10,6,1,1,3,7,0,10,3
Commercial Pilots,9,6,0,2,6,4,0,3,8
Air Traffic Controllers,4,2,0,2,9,8,8,10,0
Airfield Operations Specialists,4,4,0,2,7,7,8,10,2
Flight Attendants,4,1,2,7,8,6,8,7,10
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",10,1,1,8,4,3,0,7,0
Driver/Sales Workers,8,0,1,2,8,4,0,8,0
Heavy and Tractor-Trailer Truck Drivers,10,3,0,0,2,6,0,10,0
Light Truck Drivers,10,3,0,0,3,7,0,10,0
"Bus Drivers, Transit and Intercity",10,0,0,4,3,2,0,7,0
Locomotive Engineers,10,2,1,1,2,6,0,10,0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",10,4,0,1,4,6,0,10,3
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",10,2,0,1,2,6,0,10,8
Railroad Conductors and Yardmasters,8,2,0,1,9,7,8,2,10
Subway and Streetcar Operators,10,3,0,3,3,7,0,10,0
Sailors and Marine Oilers,10,3,0,0,4,7,0,10,0
"Captains, Mates, and Pilots of Water Vessels",9,4,0,2,8,6,0,8,10
