Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Survey Researchers,19-3022.00,4,4.25,4,4.12,4,4.12,4,4.12,3.5,4.25,2.75,2.75,4.12,4.25,3.38,4,3,3.38,3,3.62,3,3.25,3.12,3.25,3,3.12,2.62,2.75,3,3.25,2.88,3,3.62,3.75,2.38,2.5,1.88,1.12,1,0,1,0,2.25,2.25,1.75,1.25,1.12,0.12,1,0,1,0,1,0,2,1.38,3.5,3.75,3.12,3.12,3.12,3.25,3,3.5,1.75,1.5,1.75,1.5,3,3
Industrial-Organizational Psychologists,19-3032.00,4.38,4.75,4.38,4.62,4.25,4.88,4.12,4.62,3.5,3.88,3.75,3.88,4.12,4.5,3.88,4.12,3.62,4,3.88,4.25,3.88,4.12,3.75,4,3.75,3.88,3.25,3.25,3.62,3.88,3.38,3.5,4,4.12,3.5,3.5,1.88,1.12,1,0,1,0,2.75,2.88,2,1.75,1,0,1,0,1,0,1,0,2,2,4.12,4,3.88,4.25,4,4.5,3.62,3.75,2.12,2.38,2.12,2.12,3.38,4
Clinical and Counseling Psychologists,19-3033.00,4.5,4.38,4.38,4.5,4,4.25,4.25,4.38,2.38,2.12,2.25,1.88,4.38,4.25,3.75,3.88,3.5,3.75,3.88,3.75,4.25,5,3.5,3.38,3.5,3.75,3.12,3.25,3.38,3.62,3.75,3.88,3.5,3.5,1.62,1.12,1.62,1.12,1.12,0.25,1,0,1.62,0.88,1.62,0.75,1.12,0.25,1,0,1.12,0.12,1,0,1.38,0.5,3.62,3.75,2.88,3.12,2.75,2.88,3.12,3.38,1.88,1.38,1.88,1.12,2.75,3
School Psychologists,19-3034.00,4.25,4.75,4.38,4.5,4,4.12,4.25,4.25,2.75,2.38,2,1.75,4,4.12,3.62,3.88,3.5,3.88,4,4,4,5,3.62,3.62,3.5,3.5,3.38,3.38,3.25,3.5,3.75,3.88,3.75,4,1.75,1.12,1.62,0.62,1,0,1,0,1.75,0.75,1.75,0.88,1,0,1,0,1,0,1,0,1.38,0.38,3.88,4,3.12,3.38,3.12,3.5,3.38,3.62,1,0,1,0,2.75,2.88
Sociologists,19-3041.00,4,4.75,4.12,4.62,4,4.75,4.12,4.62,2.88,3.38,3.12,3.38,4,4.38,4,4.25,3.88,4.25,3.5,3.88,3.88,4.38,3.12,3.12,2.88,3,2.75,2.88,3.62,3.75,3,3,3.62,3.88,2.38,2.5,1.62,0.62,1,0,1,0,1.75,0.75,1.38,0.38,1,0,1,0,1,0,1,0,1.12,0.12,3.62,3.75,3.12,3.5,3.12,3.12,3,2.88,1.62,0.75,1.75,1.38,2.88,3
Urban and Regional Planners,19-3051.00,4,4.38,4.12,4.38,3.88,4.12,4.12,4.25,3,3.5,2.62,2.75,4,4.25,3.25,4.12,3,2.88,3,3.62,3.62,3.75,3.25,3.75,3.12,3.75,3.38,3.38,3,2.88,3.25,3,3.75,4.12,3.12,3.75,1.62,1.12,1,0,1,0,1.75,1.38,1.75,1.12,1.38,0.5,1,0,1,0,1,0,1.62,1.25,4.12,4.25,4,4.12,3.75,4,3.25,3.75,2.5,2.75,2.25,2.25,3,3.12
Anthropologists and Archeologists,19-3091.00,4.38,5.12,4.12,4.38,4.25,5.12,4.12,4.75,2.88,2.88,2.62,2.88,4.12,4.5,3.62,4.25,3.38,3.88,3.75,3.88,3.25,3.5,3,3.38,2.75,3.12,2.5,2.88,3.38,3.88,2.5,2.25,3.75,3.88,1.75,1.38,1.62,0.75,1.38,0.62,1,0,1.88,1.38,1.88,1.5,1.5,0.88,1,0,1.12,0.25,1,0,2,1.38,3.38,3.75,3,3.25,2.75,3,2.88,2.75,1.88,1.88,2.12,2.12,2.88,2.88
Geographers,19-3092.00,4.12,4.75,3.75,4.12,4.12,4.88,4,4.38,3,3.12,3.38,3.62,4,4,3.62,4.12,3.12,3.62,3,3.38,3,3,3,3,2.62,2.75,2.75,2.75,3.12,3.5,3,2.88,3.5,3.62,2.5,2.75,1.75,0.75,1,0,1,0,1.88,1.12,1.62,0.75,1.12,0.12,1.12,0.12,1,0,1,0,1.38,0.38,3.62,3.62,3.38,3.62,3.12,3.12,3,3.12,1.62,1.12,1.75,1.5,2.5,2.5
Historians,19-3093.00,4.75,4.88,4,4,4,4.88,3.88,4.12,1.75,1.12,2.62,2.62,4.12,4.12,3.75,3.75,3,3.62,3,3.12,3.38,3.38,3,3,2.75,3,2.25,2.25,3.25,3.38,2.38,2.25,3.12,3.12,2,1.88,1.38,0.5,1,0,1,0,1.25,0.38,1.5,0.62,1,0,1,0,1,0,1,0,1.38,0.75,3.12,3.38,2.25,2.25,2.25,2.25,2.88,2.88,1.5,0.88,1.62,1.12,2.88,2.88
Political Scientists,19-3094.00,4.25,4.88,4.12,4.62,4,4.62,4.12,4.75,3,3.12,2.62,3,4,4.75,4.12,4.12,3.5,3.75,2.88,3.5,3.75,3.75,3,3,2.88,3,2.75,3,3.5,3.5,3,2.88,3.62,3.75,2.5,2.38,1.5,0.62,1,0,1,0,1.5,0.75,1.38,0.38,1,0,1,0,1,0,1,0,1.38,0.5,3.62,3.88,3,3.5,3.12,3.38,2.88,2.88,1.62,0.62,1.62,0.75,2.12,2
Transportation Planners,19-3099.01,4,4.25,4,4.12,4,4.12,4,4.12,3.38,4.12,2.38,2.25,4,4.25,3.75,4.12,3,3,3.12,3.5,3,3,3.62,3.75,3,3.38,3,3,2.88,2.88,3,3,4,4.12,3.25,3.5,1.62,1,1.12,0.5,1,0,2.25,2.12,1.88,1.75,1.62,0.88,1,0,1,0,1,0,1.5,0.62,3.88,4.12,3.5,4,3.75,4.12,3.25,3.5,2.12,2,2.38,2.25,2.75,2.75
Agricultural Technicians,19-4012.00,3.5,3.88,3.25,3.38,3.25,3.62,3,3.12,3.12,3,3,3,3.25,4,3,3,2.75,3,3.12,3.25,2.88,3,3,3,2.62,2.62,2.62,2.62,3,3,2.88,2.75,3.25,3.5,1.25,0.38,1.62,0.88,1.62,1,1,0,1.62,0.75,2.88,3,2.62,2.62,1.5,0.75,2.25,2.12,1.75,1.25,1.62,1,3,3,2.62,2.88,2.5,2.75,3,3,2,1.25,2,1.62,2.62,3
Precision Agriculture Technicians,19-4012.01,3.88,4,3.75,3.88,3.5,3.5,3.75,3.5,3.25,3.25,2.88,2.62,3.75,3.62,3.38,3.75,3,3,3.25,3.5,2.75,3,3,3,2.75,3,2.62,2.62,2.75,2.88,2.75,3.12,3.38,3.25,2.88,2.88,1.62,0.75,2.12,2.12,1.88,1.38,2.38,1.88,2.88,3,2.88,3,2.5,2.38,2.62,2.38,2.38,2.12,2.62,2.88,3.25,3.5,3.12,3.25,3.12,3.25,3,2.88,1.75,0.75,1.88,1,2.25,2.12
Food Science Technicians,19-4013.00,3.75,3.88,3.5,3.12,3.5,3.38,3.5,3.38,2.75,3.12,3.25,3.25,3.25,3.38,3,3.12,2.88,3,3.12,3.12,2.88,2.88,3.12,3.12,2,1.75,2,2,3,3,2.25,2.12,3.12,3,1.38,0.38,1.38,0.38,1.62,1.12,1,0,1.38,0.38,2.75,2.88,2.12,2,2,1.62,2.12,1.62,1.75,1.38,3.12,3,3,3,2.25,2.12,2.38,2.25,3,3,1.5,0.5,2,1.62,2.62,2.62
Biological Technicians,19-4021.00,4,4.62,3.75,3.75,3.38,3.75,3.25,3.75,3,3.62,3.75,3.62,3.88,4,3.5,3.88,2.88,2.75,3.25,3.75,2.75,2.75,2.75,2.62,2,2.12,1.88,1.38,2.38,2.5,2.25,2.12,3.25,3.5,1.88,1.62,1.88,1.38,1.88,1.5,1,0,1.88,1.75,3,3,2.62,2.75,2.12,1.75,2.62,2.62,1.75,0.88,2.88,3.12,3.12,3.5,3,3,2.75,2.88,2.88,2.88,1.88,1,2.25,2,2.12,2.12
Chemical Technicians,19-4031.00,4,4.12,3.88,3.88,3.88,4,3.38,3.38,3,3.12,4.12,4.12,4,4.12,3.38,3.25,3.12,3.25,3.88,3.88,2.88,2.88,3,3,2.62,2.25,2.62,2.62,3,3.12,2.75,2.75,3.12,3.12,2.5,2.62,2,1.62,2.75,2.75,1,0,1.5,0.62,3.25,3.25,3,3,2.88,3,2.88,3,2.75,2.75,3.12,3.38,3.12,3.25,3,3,3.12,3.12,3.12,3,1.75,1,2.25,1.88,2.5,2.5
"Environmental Science and Protection Technicians, Including Health",19-4042.00,4,4.12,3.88,4,3.88,4,3.88,4,3.12,3.12,3.38,3.38,3.75,3.75,3.12,3.12,3,3.12,3.38,3.75,3,3.12,3,3,2.88,3,2.75,2.88,2.88,3.12,3,3,3.25,3.5,2.62,2.75,1.5,0.62,1.75,1.38,1,0,1.88,1.12,3,2.88,2.88,3,1.88,1.25,2,2.25,1.75,1.25,2.75,2.88,3.25,3.25,3.12,3.12,3,3.12,3,3.12,1.88,1.38,2,1.75,2.38,3
"Geological Technicians, Except Hydrologic Technicians",19-4043.00,3.62,4,3.31,3.31,3.25,3.38,3.25,3.31,2.63,2.81,3.12,3.62,3.62,3.38,2.81,2.87,2.5,2.44,3.19,3.31,2.88,2.88,2.94,2.94,2.75,2.37,2.12,2,2.31,2.5,2.38,2.25,2.94,3,2.06,2.31,1.75,1.06,2.06,1.62,1.06,0.19,1.75,1.06,2.81,3.12,2.69,2.81,1.94,1.44,2.44,2.31,1.94,1.5,2.5,2.75,3,2.94,2.75,2.81,2.56,2.56,3.06,2.94,1.69,1.06,1.88,1.5,2.38,2.62
Nuclear Technicians,19-4051.00,3.62,4,4,4,3.12,3,3.75,3.62,2.88,3.38,3,3.12,3.88,3.62,3,3.12,2.62,2.5,4,4,2.88,2.38,2.88,2.88,2.12,2.12,2.12,2.12,2.25,2.25,2.12,2.12,3.25,3,1.25,0.38,1.88,1.38,2.12,2,1,0,1.62,0.75,4,4,3.62,3.75,2.88,2.88,3,3.5,2.88,3.38,3.12,3.25,3.25,3.62,2.38,2.75,2.5,2.62,3,3,1.75,0.75,1.88,0.88,2.12,2
Nuclear Monitoring Technicians,19-4051.02,3.75,4,3.88,3.88,3.12,3.62,3.5,3.38,3.12,3.12,3.12,3.12,3.88,4,3,3.12,3.12,3.25,3.88,4,3,2.88,3,3,2.88,2.75,2.75,2.75,3.25,3,2.88,2.75,3.12,3.12,1.25,0.25,1.62,0.62,1.5,0.5,1,0,1.5,0.62,3.75,3.62,2.75,2.88,2.12,1.25,2.75,2.75,1.62,0.75,3.12,3.12,3.38,3.38,3,3,2.5,2.88,3,3.12,2,1.12,2,1.12,2.75,2.75
Social Science Research Assistants,19-4061.00,4,4.75,3.75,4.12,3.75,3.88,3.38,3.75,3.12,3.88,3.25,3.38,3.75,3.88,3.12,3.62,3,3.12,2.88,3.12,2.88,2.88,2.88,3,2.5,2.5,2.38,2.38,2.62,2.88,2.38,2.5,3.38,3.12,2,2,1.75,1.25,1.38,0.5,1,0,2.62,2.75,2.12,1.88,1.62,0.62,1,0,1.75,1.38,1,0,2.5,2.88,3.12,3.12,3,2.88,2.88,3,2.88,2.88,1.75,1.5,2,2,2.38,2.38
Forest and Conservation Technicians,19-4071.00,3.38,3.75,3.75,3.75,3,3.12,3.25,3.5,2.75,2.75,2.75,2.25,3.75,3.38,3,3,3,3,3.12,3.62,3.12,3.12,3.12,3.25,2.88,3.12,2.25,2.38,3.12,3,3,2.88,3,3,1.88,1.12,2,1.12,2.12,1.88,1.25,0.25,2,1.62,2.88,2.88,2.75,2.88,2,1.88,2,2,2,1.88,2.62,2.75,3.25,3.38,3,3,2.75,3,3.25,3.25,2,1.38,2,1.75,2.88,3.12
Forensic Science Technicians,19-4092.00,4,4.12,4,4.12,4,4.12,4,4.12,2.75,2.88,3.25,3.5,4,4.12,3.38,3.88,3,3.25,3.25,3.25,3.25,3.25,3.12,3.12,2.75,2.75,2.38,2.25,2.75,3.38,3,3,3.62,3.62,1.62,1.12,1.38,0.38,2,1.88,1,0,1.5,0.75,2.75,2.62,2.62,2.5,1.62,1,2,1.75,1.5,0.88,2.5,2.5,3.25,3.62,3,3,3,2.88,3,3,1.38,0.38,1.5,0.62,2.62,3
Quality Control Analysts,19-4099.01,3.75,3.88,3.38,3.75,3.25,3.38,3.12,3.62,3,3.25,2.75,2.88,3.25,3.62,3.12,3.12,2.75,2.88,3.75,3.88,3,3,2.75,2.75,2.25,2.5,2.38,2.62,2.62,3,2.75,2.88,3.38,3.25,2,1.88,1.62,1.12,1.88,1.12,1.5,0.5,1.75,0.75,3.25,3.25,2.75,3,2.12,1.62,3,3,1.88,1.38,4,4,3,3.12,3,3,3,3,3,3,1.5,0.75,1.75,1.38,1.88,2
Remote Sensing Technicians,19-4099.03,3.5,4.12,3.38,3.75,3.25,3.75,3.5,3.62,3.5,3.88,2.62,2.75,3.75,3.88,3,3.5,2.75,3,3.38,3.62,2.88,2.75,3.12,3.38,2.5,2.88,2.5,2.5,2.62,3.25,2.5,2.62,3.25,3.38,2,1.88,1.88,1.62,2.12,2.38,1.12,0.12,2.75,3.25,2.75,3.12,2.38,2.25,2.12,2,2.38,2.38,1.88,1.5,2.88,2.88,3.38,3.62,3.38,3.12,2.75,3,2.88,2.75,1.88,1.38,2.12,1.88,2.62,2.5
Occupational Health and Safety Specialists,19-5011.00,3.88,4,3.88,3.88,3.62,3.88,4,4.12,3.38,3.38,2.88,3.38,3.88,4.12,3.38,4,3.25,3.5,3.62,4.12,3.75,3.88,3.12,3.12,3.12,3.75,3,3.12,3.38,3.38,3,3.12,3.88,3.88,3,3.12,1.75,1.38,1.62,1,1,0,1.75,1.25,3.25,3.62,2.12,2.12,1.12,0.12,2.12,2.25,1.12,0.12,3.25,3.5,3.75,3.88,3.5,3.62,3.75,3.88,3,3,1.88,1.5,1.88,1.62,2.62,2.88
Occupational Health and Safety Technicians,19-5012.00,3.88,3.88,4,3.88,3.5,3.88,3.88,3.88,2.5,2.75,2.88,2.88,3.88,3.88,3.12,3.25,3,3.12,3.38,3.75,3,3.12,3,3,2.88,3,2.88,3,3.12,3.12,3,3,3.25,3.25,2.25,2.62,1.88,1.12,1.12,0.12,1,0,1.88,1.12,3,3.12,2.5,2.25,1.12,0.12,2,1.62,1,0,2.75,2.75,3.12,3.25,3.12,3.12,2.88,3,3,3.12,2,1.38,2,1.75,2.88,2.38
Substance Abuse and Behavioral Disorder Counselors,21-1011.00,4,4.25,4.25,4.38,4,4,4.25,4.25,2,2,2,1.38,4.12,4.12,3.75,4,3.25,3.75,4,4,4.12,5,3.5,3.88,3.88,3.75,3.25,3.25,3.38,3.25,3.88,4,3.5,3.5,2,1.5,1.75,1,1,0,1,0,1.75,1,2,1.75,1.62,0.88,1,0,1.5,0.5,1,0,2,1.25,3.88,3.88,3.25,3.25,3.25,3.25,3,3.12,2,1,2,1,3,3
"Educational, Guidance, and Career Counselors and Advisors",21-1012.00,4.12,4.25,4.38,4.12,4,4,4.25,4,2.12,2.12,1.62,0.62,4,4,3.88,3.88,3.75,3.62,3.75,3.75,4.25,5.12,3.88,3.88,3.88,3.88,3.75,3.25,3.88,3.5,4.12,4,3.88,3.75,1.12,0.25,1.75,0.88,1,0,1,0,1.75,1,1.88,1,1,0,1,0,1,0,1,0,1.12,0.25,3.88,4,3.25,3.12,3.12,3.38,3.38,3.88,1.5,0.62,1.5,0.62,3,3
Marriage and Family Therapists,21-1013.00,4,4.25,4.88,5,4,4.25,4.25,4.25,1.88,1.75,2.5,2.88,3.88,4.25,3.75,4.25,3.12,3.75,3.62,4,4.38,5.75,3.5,3.5,3.62,3.75,3.62,3.75,3.5,3.62,4,4.25,4,4.12,2.75,3,1.5,0.5,1,0,1,0,1.25,0.25,1.5,0.5,1.12,0.12,1,0,1,0,1,0,1.25,0.25,4,4.25,3.12,3.75,3.25,3.88,3.12,3.12,1.38,0.38,1.25,0.25,3,3
Mental Health Counselors,21-1014.00,4.12,4.62,4.75,4.88,4,4.25,4.25,4.25,2,2.12,2.88,3.5,3.75,4.5,3.5,4.12,3.25,3.88,3.88,4,4.88,5.62,3.25,3.5,3.5,4.12,3.12,3.5,3.12,3.25,4,4,3.62,3.75,2.75,2.88,1.62,0.75,1,0,1,0,1.62,0.62,1.62,0.62,1,0,1,0,1,0,1,0,1.88,1,3.88,4,3.12,3.62,3.25,4,3,3.25,1.62,0.88,1.62,0.75,2.88,3
Rehabilitation Counselors,21-1015.00,3.75,4,4,4.12,3.62,4,4,4,2,2,2.25,2,3.62,3.88,3.12,3.25,3.12,3.75,3.88,4.12,4,4.88,3.62,3.75,3.12,3.75,3,3.12,3.12,3,4,4,3.12,3.62,2.88,3,1.5,0.62,1,0,1,0,1.5,0.5,1.62,0.75,1.12,0.12,1,0,1,0,1,0,1.25,0.25,3.38,3.62,3.12,3.62,3.12,3.5,3.25,3.12,1.5,0.62,1.38,0.5,2.75,3
"Child, Family, and School Social Workers",21-1021.00,4,4.12,4.88,4.75,3.75,4.12,4.5,4.12,2,1.88,2.25,2,4.12,4.25,3.38,3.75,3.12,3.12,3.88,3.88,4.12,4.62,3.75,3.88,3.75,3.88,3.75,4,3.12,3.25,4,4.12,3.88,3.5,2.62,3,1.5,0.62,1,0,1,0,1.38,0.5,2.12,2,2,1.62,1,0,1.5,0.62,1,0,1.75,1,4,4,3.12,3,2.88,3.12,3.75,3.88,1.38,0.38,1.38,0.38,2.88,3
Healthcare Social Workers,21-1022.00,4,4.25,4,4.75,3.88,4.12,4.12,4.25,2,2,2.62,2.62,4,4,3.75,4,3.12,3.62,3.25,3.88,4.25,5.12,4,4,3.25,3.75,3.12,3.25,3,3,4.12,4.38,3.88,3.88,2.88,3,1.62,0.75,1,0,1,0,1.62,0.75,1.62,0.88,1.62,0.88,1,0,1,0,1,0,1.62,0.88,3.62,3.88,2.75,2.5,3.12,3.62,3.12,3.25,1.62,0.75,1.75,0.88,3.12,3.12
Mental Health and Substance Abuse Social Workers,21-1023.00,4,4.12,4.12,4,3.75,4,4.12,4,2,2,2.62,2.75,4,4,3.25,3.88,3.75,3.88,4,4,4.25,5.12,3.88,4,3.75,4,3.38,3.75,3.25,3.75,3.88,4.12,3.88,4,2.5,2.62,1.75,1,1,0,1,0,1.88,1,2,2,1.38,0.62,1,0,1,0,1,0,1.88,1,3.5,3.88,3.25,3.25,2.88,3.12,3.25,3.88,1.88,1,1.88,1,3,3
Health Education Specialists,21-1091.00,3.75,4,4.12,4,4.12,4,4.12,4.25,2.12,2.25,2.5,2.75,3.75,4,3.88,3.62,4,4.12,3.25,3.75,3.88,3.88,3.62,3.25,3.12,3.25,3,3.12,3.38,3.25,3.25,3.25,3.12,3,3,3,1.75,1,1,0,1,0,1.38,0.5,1.88,1.62,1.5,0.75,1,0,1,0,1,0,1.38,0.38,3.25,3.12,3.12,3.12,3,3,3.38,3.25,2.25,2.12,2.12,2.12,3,3
Probation Officers and Correctional Treatment Specialists,21-1092.00,3.88,4.12,4,4,3.75,3.88,4,4,1.88,1.25,1.75,0.75,3.88,4,3.38,3.25,2.25,2.62,3.75,3.88,4,4.38,3.12,3.75,3.12,3.75,3.12,3.12,3,3,3,3.5,3.75,3.38,1.75,1.62,1.5,0.62,1,0,1,0,1.62,0.75,2.25,1.75,2.12,1.38,1,0,1.62,0.62,1,0,2,1.38,3.62,3.75,2.88,3,2.75,3,3.38,3.38,1.62,1,1.62,0.88,2.25,2.5
Social and Human Service Assistants,21-1093.00,3.75,4,4,4,3.62,3.88,4,4.12,2,2,1.75,1.5,3.62,4,3.25,3.25,2.88,3,3.62,3.75,4,4.12,3.75,3.38,3.38,3.38,3,3,2.88,3.12,3.88,4,3.25,3.12,2,1.38,1.75,0.88,1,0,1,0,1.62,0.88,2,1.38,2,1.62,1,0,1.12,0.25,1,0,1.88,1.25,3.25,3.25,2.75,3.12,2.88,3,3,3.12,2,1.25,2,1.38,2.25,2.38
Community Health Workers,21-1094.00,3.88,4,4.12,4,4,3.88,4.12,4,2.25,2.12,1.25,0.5,3.75,3.75,3.62,3.62,3.38,3.75,3.38,3.75,4.12,4.25,3.62,3.62,3.5,3.75,3,3,3.5,3.62,3.88,3.88,3.5,3.5,1.38,0.75,1.5,1,1,0,1,0,1.5,0.75,2.12,1.88,1.88,1.75,1,0,1.62,1.12,1,0,1.88,1.38,3.38,3.38,3.38,3.25,3.12,3.25,3.38,3.38,1.88,1.62,1.88,1.75,3.25,3
Clergy,21-2011.00,3.88,4.75,4.25,4.62,3.88,4.12,4.75,4.75,1.88,2.12,1.38,0.38,3.75,3.88,3.75,3.88,3.62,3.88,3.5,4,4.12,5,3.75,3.75,3.88,4,3.75,3.88,4,4,4,4.25,3.75,3.62,1.75,0.75,1.5,0.62,1,0,1,0,1.5,0.5,1.75,0.75,1.38,0.38,1,0,1,0,1,0,1,0,3.88,4,2.88,2.88,3,3.38,3.88,3.88,2.75,2.62,2.75,2.62,3.38,3.75
"Directors, Religious Activities and Education",21-2021.00,3.88,4,4,4,3.25,3.88,4.12,4,2.12,2.5,1.38,0.38,3.88,4,3.88,3.88,3.75,3.88,3.12,3.75,4,4.5,3.75,3.88,3.12,3.75,3,3,3.88,3.25,3.88,3.75,3.5,3.75,2.88,2.75,1.88,1.12,1,0,1,0,1.75,1,2,1.62,1.12,0.12,1,0,1.5,0.5,1,0,2,1.38,3.62,3.12,3.12,3,2.88,2.88,3.12,3.5,2.75,3,2.75,2.75,3,3.5
Lawyers,23-1011.00,4.38,4.88,4.62,4.75,4,4.88,4.62,4.88,2.12,2.12,1.62,0.88,4.25,4.88,3.88,4.25,3,3.12,3.62,3.75,3.75,4,3.38,3.38,4,4.5,4,4.25,3.12,3.12,3.12,3.75,4.12,4,2.62,2.38,1.88,1,1,0,1,0,1.5,0.75,1.62,0.62,1.38,0.38,1,0,1,0,1,0,1.12,0.25,4.12,4.25,3.5,3.5,3,3.25,3.88,4,2.25,2,2,1.75,2.88,3
Judicial Law Clerks,23-1012.00,4.5,4.88,4.25,4.25,4.12,4.38,4,4.25,1.88,1.75,1,0,4.25,4.62,3.75,4.12,3,3,3,3.25,3,3.12,3,3,2.75,3.25,2.75,2.88,2.62,2.75,2.62,2.88,3.5,3.62,1.25,0.38,1.62,0.75,1,0,1,0,1.5,0.62,1.25,0.25,1,0,1,0,1,0,1,0,1.75,0.88,3.25,3.62,2.38,2.38,2.38,2.38,3.25,3.25,1,0,1.25,0.25,1.75,0.88
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,4.25,4.75,4.25,5.5,4.12,4.88,4,4.75,2.12,2.38,1.62,0.75,4.25,5.12,3.75,4.12,3,2.88,3.62,4,3.88,4,3,2.88,3,3.62,3.25,3.5,2.75,2.88,3,2.88,3.88,4,1.88,1.75,1.75,0.88,1,0,1,0,1.5,0.5,1.5,0.5,1,0,1,0,1,0,1,0,1.12,0.12,4.12,4.88,2.75,2.75,2.75,2.88,3.25,3.38,1.75,1,1.62,0.62,2.62,2.5
"Arbitrators, Mediators, and Conciliators",23-1022.00,4,4.25,4.38,4.88,4.12,4.38,4.12,4.75,2,2,1.62,0.62,4,4.75,3.75,4,3,3,2.88,3.5,3.62,3.62,3.12,3.12,3.75,4.38,4.75,5,2.88,3.12,3,3.12,3.62,3.75,1.5,1,1.38,0.38,1,0,1,0,1.5,0.5,1.25,0.25,1,0,1,0,1,0,1,0,1.12,0.12,4,4.12,2.62,2.88,2.62,2.88,3,3,1.12,0.12,1.12,0.12,1.88,1.62
"Judges, Magistrate Judges, and Magistrates",23-1023.00,4.25,4.75,5,5.88,4.12,4.88,4.12,4.88,2.12,2.12,1.75,1.38,4.88,5.75,4,4.62,2.75,2.88,3.88,4.12,4,4,3,3.25,3,3.62,3.25,3.88,3,3.12,3,2.88,4.12,5,2.38,2.38,1.75,0.75,1,0,1,0,1.25,0.38,1.25,0.25,1,0,1,0,1,0,1,0,1,0,4.25,4.75,3,3.25,2.88,3,3.38,4,1.62,0.75,1.62,0.75,2.88,3.12
Paralegals and Legal Assistants,23-2011.00,4,4,3.88,4,3.75,3.88,3.75,3.75,1.88,1.62,1.62,0.75,3.38,3.5,3.12,3.25,2.25,2.12,3,3,2.88,3.12,3,3,2.75,2.88,2.5,2.5,2,2,3,3,3.12,3,1.5,0.5,1.75,0.75,1,0,1,0,1.5,0.62,1.75,0.75,1,0,1,0,1,0,1,0,1.25,0.25,3,3,2.25,2.12,2.12,2.12,3,3.12,1,0,1,0,2,1.75
"Title Examiners, Abstractors, and Searchers",23-2093.00,4.12,3.88,3.75,3.62,3.38,3.62,3.62,3.5,2.25,2.25,1.25,0.25,3.62,3.62,3,3.12,2.38,2.12,3,3,2.88,2.75,3,3,2.5,2.38,2.12,2.25,2.12,2,2.88,2.88,3.12,3,1.62,1,1,0,1,0,1,0,1.25,0.25,1.62,0.75,1,0,1,0,1,0,1,0,1.25,0.25,2.75,2.75,2.25,2.12,2.12,1.62,3.12,3.25,1.62,0.62,1.62,0.62,2.38,2.5
"Business Teachers, Postsecondary",25-1011.00,4,5,4,4.12,4,5,4.25,4.88,3,3.25,1.88,1.38,3.88,4.38,3.88,4.38,4,4.75,3.62,4,3.25,3.38,3,3,2.88,2.88,2.75,2.75,4.12,4.62,2.75,3,3.5,3.75,2.25,2.12,1.62,0.62,1,0,1,0,1.88,1.25,1.5,0.5,1.12,0.12,1,0,1,0,1,0,1.5,0.62,3.38,4,3.12,3.25,3.12,3.25,3.25,3.5,1.62,0.75,1.62,0.88,2.62,2.5
"Computer Science Teachers, Postsecondary",25-1021.00,4,5,3.88,4.38,4,4.88,4,4.88,3.12,3.5,2.75,2.62,3.88,4.5,3.88,4.12,3.88,4.38,3.75,4,3.62,3.75,3,3.12,3,3,3,2.88,4.12,4.75,3.12,3.25,3.75,4,2.25,2.62,2,1.88,1.5,0.5,1,0,3,3.12,2.12,1.25,1.62,0.75,1.38,0.38,1.38,0.38,1,0,2,1.62,3.88,3.88,3.38,3.62,3.25,3.38,3.12,3.62,2,1,2,1.62,2.75,3
"Mathematical Science Teachers, Postsecondary",25-1022.00,4,4.88,4,4,3.88,4.75,4.12,4.38,4.25,4.88,2.38,2.25,3.88,4.12,3.75,4.12,3.88,4.25,3.88,4,3,3.25,3,3,2.62,2.75,2.5,2.62,4,4.25,3,3,3.62,3.62,2.12,1.75,1.62,0.62,1,0,1,0,1.75,0.88,1.25,0.25,1,0,1,0,1,0,1,0,1.5,0.5,3.25,3.38,2.88,2.88,3.12,3.12,3.12,3.25,1.62,0.62,1.62,0.75,2,2.12
